일련번호,인증번호,인증일자,회사명,제품,등급,시험번호,S/W분류,제품 설명,총WD,재계약,특이사항,"시작날짜/
종료날짜",시험원
45,"04-0012
(03-0026)
(03-0007)",2003.4.30,"㈜웨어벨리
(구:㈜오알솔루션즈)",Orange for ORACLE v2.2,-,GS-03-004,데이터베이스 SW-DB관리,"오렌지는 SQL과 PL/SQL 개발 및 튜닝, 모니터링을 쉽고 빠르게 하여 데이터베이스 관리업무를 단순화하고 개발 속도를 높여 사용자의 생산성을 향상시키는 Application 개발 및 성능 관리 Tool 입니다. 오라클에 관한 풍부한 필드 컨설팅 경력과 오랜 현장 경험을 갖춘 웨어밸리의 전문가들이 국내 순수 기술로 개발한 오렌지는 국내 개발 환경에 알맞은 최적의 Tool입니다.오렌지는 현재 개발자 업무 중심의 Developer Edition과 DBA 업무 중심의 DBA Extended Edition이 시장에 소개되고 있으며, DB상 정보의 의도적 혹은 비의도적인 유출을 방지하기 위해 DB 엑세스 시 사전 등록된 내부결재 프로세스를 거친 SQL만 실행이 가능하도록 하는 보안감시용 기능을 갖춘 Trusted Edition이 개발중에 있습니다.",,,,2003.04.01~2003.04.29,최민식
46,03-0008,2003.4.30,㈜테크다임,Techdigm Office 2.0,-,GS-03-013,사무용 SW-오피스,"테크다임 오피스는 워드 프로세서, 스프레드시트, 프리젠테이션으로 구성되었으며 100% 자체기술로 개발된 국내 최초의 통합 오피스 프로그램이다. 강력한 기능들과 한컴 한/글, MS 오피스와의 안정적 호환을 바탕으로 일반 문서편집은 물론 공공기관이나 기업의 업무용 등 각 분야에서 광범위하게 활용할 수 있다. 기존 제품들과 UI(사용자환경) 및 사용법이 유사하여 누구나 쉽게 사용할 수 있다. 
",,,,2003.03.31~2003.04.18,최부열
47,03-0009,2003.4.30,㈜엔지스테크널러지,G-Solution Waterworks/Sewerage 1.0,-,GS-03-016,GIS SW-상하수도시설물관리,"G-Solution(지-솔루션)은 지방자치단체의 효율적인 도시기반시설물관리를 목적으로 건설교통부 지하시설물(상.하수도)관리 범용프로그램 표준을 준수하여 순수 국산엔진으로 개발된 GIS 소프트웨어 입니다. Stand-alone 및 Client-Server환경은 물론, 웹, 모바일환경까지 강력하고 유연한 확장성을 제공합니다. 

",,,,2003.04.09~2003.04.25,구자경
48,03-0010,2003.4.30,삼성에스디에스㈜,UniCITY Standard 1.0,-,GS-03-020,GIS SW-상하수도시설물관리,"uniCITY Standard는 건설교통부의 범용프로그램 기본설계에 준하여 삼성SDS에서 제작한 지하시설물(상 하수도)관리 범용프로그램으로 상수도관리시스템, 하수도관리시스템, 운영자시스템으로 구성되어 있습니다. uniCITY Enterprise에 비해 상대적으로 가격이 저렴하며, 상 하수도시설물관리에 필요한 필수기능으로 구성되어 가벼운 클라이언트를 요구하는 지방자치단체의 업무에 적합합니다. 이들 제품을 도입한 지방자치단체는 상 하수도시설물관리 시스템의 필수적 요건인 기본기능, 도형편집기능, 상 하수도 업무기능 등을 통해 개발기간 단축 및 비용절감 효과를 얻을 수 있습니다.",,,,2003.03.31~2003.04.25,박상욱
49,03-0011,2003.4.30,삼성에스디에스㈜,UniCITY  Enterprise 1.0,-,GS-03-021,GIS SW-상하수도시설물관리,"uniCITY Enterprise는 건설교통부의 범용프로그램 기본설계에 준하여 삼성SDS에서 제작한 지하시설물(상 하수도)관리 범용프로그램으로 상수도관리시스템, 하수도관리시스템, 운영자시스템으로 구성되어 있습니다. uniCITY Enterprise는 각 기능이 컴포넌트 형태로 개발되어 기능의 확장성과 성능을 중요시하는 지방자치단체의 업무에 적합합니다. 이들 제품을 도입한 지방자치단체는 상하수도시설물관리 시스템의 필수적 요건인 기본기능, 도형편집기능, 상 하수도 업무기능 등을 통해 개발기간 단축 및 비용절감 효과를 얻을 수 있습니다. 
",,,,2003.03.31~2003.04.25,박상욱
50,VT-03-003,2003.05.26,미디어랜드,TCO!stream 2002 ,-,,시스템관리 SW-PC 관리/,"다양한 유형의 장애처리, PC의 하드웨어, 소프트웨어 자산관리, 신규 소프트웨어의 설치?업그레이드, 불법 소프트웨어사전 점검 등 네트워크에 연결되어 있는 PC를 관리하는 소프트웨어",,,,,
51,03-0012,2003.6.5,인터컴소프트웨어㈜,ServerGuard v3.0 ,-,GS-03-007,시스템관리 SW-시스템 관리(SMS),"서버가드는 유닉스, 리눅스, 윈도우 2000등 모든 O/S 환경을 지원해주는 서버관리 솔루션 웹을 이용하여 언제 어디서나 쉽고 빠르게 서버의 상태를 모니터링할 수 있으며, 장애 발생시에는 자동적으로 관리자에게 긴급히 통보되며 긴급상황에 대해서 자동응급복구 할 수 있는 기능을 제공합니다.",,,,2003.03.20~2003.05.09,권원일
52,03-0013,2003.6.5,에스케이씨앤씨㈜,SK-UPEX  V1.0,-,GS-03-026,GIS SW-상하수도시설물관리,"SK-UPEX는 건설교통부가 2002년 7월, 모든 지방자치단체에 공통으로 사용할 수 있는 상하수도 시설물 관리시스템의 개발을 목적으로 하여 내놓은 기본설계서에 근거하여 SK씨앤씨가 제작한 프로그램 SK-UPEX는 상하수도 배관 및 변류, 맨홀 등 시설물들의 재원 및 공사내역 등의 관리를 목적으로 한 시스템",,,,2003.05.06~2003.06.03,박상욱
53,03-0014,2003.6.5,아이티로직스,NexWeb 1.2,-,GS-03-028,디지털콘텐츠 SW-웹페이지저작,"NexWeb은 'Next Web'의 줄임말로 향후 Web 환경의 기반이 된다는 미래 지향적인 의미를 지니고 있으며, NexWeb은 단순 웹문서 제작의 개념을 벗어나 일반 업무 및 기업 사무용 문서를 누구나 인터넷을 기반으로 사용할 수 있는 XML기술 기반의 다이나믹한 슬라이드 스타일의 웹 문서를 제작할 수 있는 Web 서비스 패키지소프트웨어 프로그램 또한 데이터 모델 및 문서처리 표현과 사용자 인터페이스를 웹 기반 기술 표준에 따라 XML로 변환 웹 문서를 더 많은 일반 사용자에게 웹 접근 방법을 쉽게 제공함으로써 서비스 활용 및 다양한 분야에 적용할 수 있는 프로그램 입니다.",,,,2003.05.09~2003.05.27,최부열
54,03-0015,2003.7.10,㈜에이씨티소프트,e-Library v4.1.5,-,,유틸리티 SW-기타,"공공도서관 디지털자료실, 대학교 및 초,중고 멀티미디어실 이용자와 PC를 관리 하는 프로그램으로서 이용자는 실시간 이용, 로컬 예약(관내 입구), 인터넷 예약(도서관 홈페이지)을 통해 PC를 이용하고 관리자는 안내Desk서 모든 이용자 관리(사용현황, 예약현황, 이용내역 각종 분석 리포트 및 통계 그래프등 제공)와 PC 원격제어가 가능한 프로그램입니다",,,,,
55,03-0016,2003.7.10,㈜위즈북,DL pro 1.0,-,,디지털콘텐츠 SW-디지털콘텐츠관리(CMS),"E-book, PDF E-book, CD, DVD, 멀티미디어 컨텐츠 등으로 제작된 디지털 컨텐츠를 공공기관 및 학교의 디지털 라이브러리(Digital Library)에서 검색, 예약 및 열람 가능한 소프트웨어 

",,,,,
56,03-0017,2003.7.10,㈜에스오엔코리아,SiR v1.0,-,,웹서비스용 SW-웹하드,"SiR(Sharing of Intelligence Resource)은 인터넷을 기반으로 로컬컴퓨터내의 자료를 가상의 저장 공간에 안전하게 보관하는 사이버 스토리지™ 서비스이다. 
따라서 세계 어디서나 인터넷을 이용할 수 있다면 별도의 프로그램 없이도 웹브라우저를 통해 쉽게 파일을 저장하고 다른 회원과 공유할 수 있다. 

",,,,,
57,03-0018,2003.7.10,㈜아리수미디어,파워CD뱅크 4,-,,유틸리티 SW-기타,"아리수 파워CD뱅크는 서버에 CD-ROM 타이틀을 “가상 이미지” 형태로 저장하여 대여 및 반납에 따른 분실을 방지 할 수 있으며, CD-ROM 타이틀을 동시에 여러명이 이용 할 수 있습니다. 또한, 학교 홈페이지를 통해 “파워CD뱅크”에 탑재된 다양한 콘텐츠를 이용 할 수 있습니다",,,,,
58,03-0019,2003.8.6,"네이버시스템㈜
(구: 한국아이엔지㈜))
(구: 한진정보통신㈜)",InfoMatrix v1.0,-,,GIS SW-상하수도시설물관리,"InfoMatrix는 상하수도시설물관리를 위한 컴포넌트기반 패키지 솔루션으로 상수도관리시스템, 하수도관리시스템, 운영자시스템, 편집시스템으로 구성되어 있습니다. InfoMatrix는 업무기반 GIS기능의 최적화, 사용자중심의 인터페이스를 통하여 도형정보 및 속성정보의 원활한 입출력을 제공하고 각종 통계자료추출 등을 통하여 상하수도 시설관리에 효율성을 제공합니다.또한 시스템활용을 위하여 상대적으로 가벼운 클라이언트를 요구하며, 컴포넌트기반 패키지를 통하여 향후 커스터마이징 및 추가개발시 최선의 솔루션을 제공합니다.",,,,,
59,03-0020,2003.8.6,㈜인텔리전스웨어,Bizpus v1.0,-,,미들웨어 SW-전사적애플리케이션통합(EAI),"하나의 플랫폼에서 기업 내외부시스템 연동, 통합 및 협업 지원, 데이터, 데이터베이스, 어플리케이션, 비즈니스 프로세스 통합을 지원하는 소프트웨어",,,,,
60,VT-03-004,2003.08.12,㈜웨어벨리,Orange for ORACLE V 2.2),-,,데이터베이스 SW-DB관리/,"오라클 데이터베이스 환경에서 쉽고, 빠르게 개발의 효율성과 생산성을 높이고, 성능의 최적화를 구현하는 어플리케이션 개발 및 성능 튜닝 툴 

",,,,,
61,03-0022,2003.9.30,세광정보시스템㈜,GIS Free v1.0,-,,GIS SW-상하수도시설물관리,"건설교통부가 2002년 7월, 모든 지방자치단체에서 공통으로 사용할 수 있는 상/하수도 관리 프로그램의 개발을 목적으로 제작한 기본 설계서(건교부고시제2002-137호)를 바탕으로 세광정보시스템(주)가 개발한 프로그램이다.",,,,,
62,03-0023,2003.9.30,제오스페이스㈜,Deskplus v2.0,-,,기업용 SW-그룹웨어(Groupware),"Deskplus는 기업용 메신저와 그룹웨어가 하나로 연동되어 조직내의 커뮤니케이션과 정보. 지식을 공유 할 수 있도록 하여 업무효율을 높일 수 있는 협업(collaboration)기반의 유무선통합 웹 그룹웨어 솔루션이다 또한 기업에서 ERP, KMS 등의 기간계시스템과의 연동을 고려시 이미 구축되었거나 향후 도입 구축을 고려할 때 쉽게 통합이 가능한 플랫폼 구조로 설계되어 있는게 특징이다.",,,,,
63,"04-0011
(03-0024)",2003.9.30,"㈜선도소프트
(구:㈜캐드랜드)","ArcCITY v1.0
(서비스 중지)",-,,GIS SW-상하수도시설물관리,"ArcCITY는 지하시설물(상ㆍ하수도)관리를 위한 컴포넌트기반 솔루션으로 모든 지방자치단체의 상ㆍ하수도 관련업무에 공통적으로 활용할 수 있는 범용(상ㆍ하수도) 프로그램 ArcCITY Client-Server 환경으로 상수도관리시스템, 하수도관리시스템, 운영자시스템, 상수도편집시스템, 하수도편집시스템으로 구성되어 있으며 사용자별 맞춤형 기능 설절을 통해 다양한 업무를 수행 할 수 있습니다. 또한 표준화된 인터페이스를 제공하여 개발 및 유지보수에 효율적으로 사용할 수 있어 상ㆍ하수도관리에 최적의 솔루션이 될 것입니다. 

",,,,,
64,03-0025,2003.9.30,중앙항업㈜,GeoCUBE상하수도 v1.0,-,,GIS SW-상하수도시설물관리,"geoCUBE 상하수도는 “every geo-information in a cube”라는 Motto로 개발한 UIS 토탈 솔루션으로 지방자치단체 지하시설물(상하수도)관리의 과학적 행정처리와 업무 효율화를 위한 제품 
건설교통부의 표준설계서(고시 제2002-137호)에 의거한 컴퍼넌트기반의 패키지로, 편리한 커스터마이징을 통해 각 지방자치단체 특성에 따른 최적의 운영환경 구축을 보장하며, 통합형 GIS를 추구하는 지방자치단체의 운영체계에 적합한 UIS 솔루션을 제공합니다. 
",,,,,
65,03-0027,2003.11.12,㈜우암닷컴,RAVCOMS Eyecon v4.0,-,GS-03-035,유틸리티 SW-화상회의,"RAVCOMS는 Internet을 기반으로 한 화상,음성 채팅 프로그램(Client & Server Program)으로, Client-Server 환경의 인터넷 기반 원격 다자간 멀티미디어 솔루션

",,,,,
66,03-0028,2003.11.12,㈜오투라인,오투스쿨 v2.0,-,,교육용 SW-교수학습지원,"㈜오투라인에서 개발한 오투스쿨 2.0 은 원클릭 방식의 일방향성 컨텐츠의 전달이 라는 기존의 온라인 학습의 한계 보완하여 강의와 학습,평가, 보충지도등의 교수-학습과정이 단절없이 단계별 학습과정으로 진행되어 질 수 있도록 하는 프로그램 이다.",,,,,
67,03-0029,2003.11.12,"소프트캠프 주식회사
(구: 소프트캠프㈜)",SoftCamp Document Security v2.0,-,,보안용 SW-기타,"소프트웨어 ‘SoftCamp Document Security’는 조직내의 정보 보호를 위한 전자정보 유출방지 솔루션으로 모든 문서의 생성 시점에서부터 유통, 반출, 폐기에 이르는 전 과정에 대한 암호화와 접근 권한 설정을 통해 중요문서의 관리 및 보안 기능을 제공합니다",,,,,
68,03-0030,2003.11.12,㈜아이티고,티처보드 v2.0,-,,교육용 SW-교수학습지원,"TeacherBoard는 컴퓨터를 이용한 강의에 부드럽고 자연스러운 판서를 할 수 있는 교육 지원 툴입니다. Windows 환경에서 언제나 판서가 가능하므로 다양한 자료(hwp, doc, ppt, excel 등)를 활용한 첨삭강의로 학습 효과를 극대화할 수 있습니다.",,,,,
69,05-0087 (03-0031),2003.12.10,"㈜엑티브씨앤씨
(구: ㈜엑티브메일코리아)
(구:㈜이코아이티)",스팸블러커 2.7,-,,보안용 SW-스팸및악성코드차단,"스팸블러커는 사용자에게 실제 메시지가 배달되기 이전 단계에서 스팸메일을 완전히 격리시켜 사용자들은 필요한 메일만 수신함으로써 메일 서버의 효율성을 증대시키고, 개별 사용자는 불필요한 메일 삭제로 인한 시간낭비와 스트레스를 줄일수 있도록 개발된 스팸메일 차단 솔루션이다",,,,,
70,03-0032,2003.12.10,공간정보기술㈜,geoFM-Water v1.0,-,,GIS SW-상하수도시설물관리,건설교통부 고시 제2003-286호 『지방자치단체의 도로 및 상하수도의 시설물관리를 위한 범용프로그램의 기본설계서 및 품질인증기준』에 의거하여 Geomedia엔진을 기반으로 개발된 GIS 소프트웨어(상하수도시설물관리),,,,,
71,03-0033,2003.12.10,㈜우대칼스,UrbanWorks v1.0,-,,GIS SW-상하수도시설물관리,건설교통부 고시 제2003-286호 『지방자치단체의 도로 및 상하수도의 시설물관리를 위한 범용프로그램의 기본설계서 및 품질인증기준』에 의거하여 ArcSDE엔진을 기반으로 개발된 GIS 소프트웨어(상하수도시설물관리),,,,,
72,05-0102 (04-0001),2004.02.05,"㈜유삼씨앤씨 
(구:㈜지아이에스인터내셔날)",M-UnderFacil v1.0,-,,GIS SW-상하수도시설물관리,"상.하수도 범용 / M-UnderFacil v1.0 은 건설교통부에 의해 고시된 지하시설물(상.하수도)관리 범용프로그램의 기준에 맞게 개발되어 지방자치단체의 상.하수도 관리에 용이한 작업을 수행할 수 있도록 제작 되었으며, 통합된 사용자 인터페이스 제공을 통해 조회 및 편집 작업을 동일 시스템에서 처리할 수 있도록 하였습니다.",,,,,
